2.21.Key,00.02.Site Name,00.04.State,00.03.Region,TIPO,STATUS,Prioridade,TITULO,DATA ,OBS,
2023.003465,4G-PBNG05 - BRAA04,GO,TCO,,FEITO,,4G-PBNG05 - BRAA04 (2023.003465),8/30/2023,"38-19,5",
2023.003584,SN-UBRD03 - UBUR14,MG,TLE,,FEITO,,SN-UBRD03 - UBUR14 (2023.003584),8/30/2023,47-46,
2023.003598,SN-PZRD02 - SN-PCRD06,MG,TLE,,FEITO,1,SN-PZRD02 - SN-PCRD06 (2023.003598),8/30/2023,48-48,
2023.003441,SR-SXTR02 - MUCE01,SC,TSL,,FEITO,,SR-SXTR02 - MUCE01 (2023.003441),8/30/2023,"37,5 - 47",
2023.002751,SR-GRSU02 - GRMO01,SC,TSL,,FEITO,1,SR-GRSU02 - GRMO01 (2023.002751),8/30/2023,"67,5 - 29",
2022.001094,4G-TTTQ01 - 3SLTTCU02,SP,TSP,,FEITO,2,4G-TTTQ01 - 3SLTTCU02 (2022.001094),8/30/2023,,
2022.003207,5G-MNSOB6 - MNSN17,AM,TNO,,FEITO,1,5G-MNSOB6 - MNSN17 (2022.003207),9/4/2023,"20,5 - 45",
2023.003392,4G-BGJF01 - BGCT01,SP,TSP,,FEITO,2,4G-BGJF01 - BGCT01 (2023.003392),9/1/2023,"30 - 49,5",
2022.003078,CPSI01 - CPVM01,SP,TSP,,PARADO,,CPSI01 - CPVM01 (2022.003078),,SEM EVIDENCIAS,
2023.000616,XPXP00 - OHOH00,PB,TNE,,FEITO,,XPXP00 - OHOH00 (2023.000616),9/1/2023,"28,5 - 48,5",
2022.001412,4G-GSGV01 - GSRD02,SP,TSP,,FEITO,1,4G-GSGV01 - GSRD02 (2022.001412),9/6/2023,esperando docs ponta A,
2022.003416,QMQM00 - QMQM01,PB,TNE,,FEITO,1,QMQM00 - QMQM01 (2022.003416),9/5/2023,FALTA FOTOS ENERGIA (JA TROQUEI A ALTURA),
2022.001025,PLPR00-OLBD00,PE,TNE,,FEITO,,PLPR00-OLBD00 (2022.001025),9/4/2023,"47-54,5",
2023.002197,PIMMW01 - HWHW00,PE,TNE,,FEITO,,PIMMW01 - HWHW00 (2023.002197),9/5/2023,23-57,
2023.003468,4G-VPIO23 - VPIO01,GO,TCO,,FEITO,2,4G-VPIO23 - VPIO01 (2023.003468),9/5/2023,38 - 56,
2023.003002,PETR21 - RJMW32,RJ,TRJ,,FEITO,2,PETR21 - RJMW32 (2023.003002),9/5/2023,10 - 38,
2023.002431,NLGURT03 - NLGURT02,TO,TCO,,PARADO,2,NLGURT03 - NLGURT02 (2023.002431),9/11/2023,E-MAIL ver com a MAYARA,
2023.003434,SR-PQLT08 - PINC01,PR,TSL,,FEITO,,SR-PQLT08 - PINC01 (2023.003434),9/4/2023,"33 - 50,5 ",
2023.003574,SR-BHBHJ7 - BHBH00,CE,TNE,,FEITO,,SR-BHBHJ7 - BHBH00 (2023.003574),9/8/2023,,
2023.003445,4G-CDOL14 (33m) - SSYS04 (70m),GO,TCO,,FEITO,1,4G-CDOL14 (33m) - SSYS04 (70m) (2023.003445),9/12/2023,,
,CALCUCLO,,,,,,,,,
2023.003443,4G_ALXG05 (36m) -ALXG02 (66m),GO,TCO,,FEITO,1,4G_ALXG05 (36m) -ALXG02 (66m) (2023.003443),9/12/2023,36,
2023.003458,5G-SOBD35 - SOBD08,DF,TCO,,FEITO,1,5G-SOBD35 - SOBD08 (2023.003458),9/13/2023,33 - 62,
2023.003628,4G-SLSOA5 - SLSC23,MA,TNO,,FEITO,1,4G-SLSOA5 - SLSC23 (2023.003628),9/13/2023,,
2023.003397,4G-MRUG01 - SP7409,SP,TSP,,FEITO,1,4G-MRUG01 - SP7409 (2023.003397),9/14/2023,,
2022.003421,SMSM03 - CMAM00,PE,TNE,,FEITO,,SMSM03 - CMAM00 (2022.003421),9/8/2023,20 - 20,
2023.003627,4G-ALCTJ5 - NLALCT01,MA,TNO,,FEITO,,4G-ALCTJ5 - NLALCT01 (2023.003627),9/14/2023,,
2023.002403,4G-VPPO92 - 4G-BALG01,GO,TCO,,FEITO,,4G-VPPO92 - 4G-BALG01 (2023.002403),9/14/2023,68 - 60,
2023.003053,4G-CLASI0 - 4G-CSF0I2,MS,TCO,,FEITO,,4G-CLASI0 - 4G-CSF0I2 (2023.003053),9/15/2023,65 (PONTA A),
2023.003054,4G-CSF0I2 - 4G-CSF0J1,MS,TCO,,FEITO,,4G-CSF0I2 - 4G-CSF0J1 (2023.003054),9/15/2023,38-56,
2023.003055,4G-CLASI1 - 4G-CSF0I2,MS,TCO,,FEITO,,4G-CLASI1 - 4G-CSF0I2 (2023.003055),9/15/2023,68-40,
3392,,,,,,,,,,
2023.003391,4G-AVJT01 - AVBB01,,,,FEITO,,4G-AVJT01 - AVBB01 (2023.003391),,ponta a 28m,
2023.003911,SR-PILL15 - COSM01,PR,TSL,,FEITO,,SR-PILL15 - COSM01 (2023.003911),9/18/2023,,
2023.003394,4G-TICT06 - NLTICT12,SP,TSP,,FEITO,,4G-TICT06 - NLTICT12 (2023.003394),9/18/2023,PONTA B 36m,
2023.003396,4G-YAFG01 - SI9058,SP,TSP,,FEITO,,4G-YAFG01 - SI9058 (2023.003396),9/18/2023,,
2022.003115,4G-GPSG03 - TRGG01,GO,TCO,,FEITO,,4G-GPSG03 - TRGG01 (2022.003115),8/19/2023,,
2023.003910,SR-BLFF02 - BLIR01,SC,TSL,,FEITO,,SR-BLFF02 - BLIR01 (2023.003910),9/20/2023,,
2022.000454,GPSG01 - TRGG01,GO,TCO,,FEITO,,GPSG01 - TRGG01 (2022.000454),9/20/2023,falta fotos,
2023.003467,4G-PWLG08 - PWLG02,GO,TCO,,FEITO,,4G-PWLG08 - PWLG02 (2023.003467),9/20/2023,"43 - 40,8",
2022.002946,BLBL00 - MPMP00,AL,TNE,,PARADO,,BLBL00 - MPMP00 (2022.002946),9/20/2023,45 - 37,
2023.003466,4G-PWLG09 - PWLG01,GO,TCO,,FEITO,,4G-PWLG09 - PWLG01 (2023.003466),9/22/2023,38 - 54,
2022.000424,CRLZ03 - EDRA03,PA,TNO,,A FAZER,,CRLZ03 - EDRA03 (2022.000424),9/22/2023,,
2022.000426,PAUR09 - PAMW01,PA,TNO,,FEITO,,PAUR09 - PAMW01 (2022.000426),9/25/2023,49-50,
